Project Name,Description,Country,Country Code,Standard Version,Project Developer,Scale,Type,Crediting Period,Status,Methodology,Annual Estimated Credits,GS ID,POA GS ID,Document URL
Gaziantep Landfill Gas to Energy Project Turkey,"The Project is a Landfill Gas to Energy Project, developed by CEV Enerji and located   at the Gaziantep City's landfill site, where currently the landfill gas is being emitted   freely to the atmosphere. The proposed project activity involves the collection and   utilization of LFG to generate electricity and supply to the national grid.",Turkey,TR,Gold Standard for the Global Goals,CEV Enerji retim Sanayi ve Ticaret Limited _irket,Large Scale,Biogas - Electricity,2018-01-24 - 2025-01-23,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0001 Flaring or use of landfill gas,91290,N/A,N/A,https://platform.sustain-cert.com/public-project/1272
60 MW Bandirma Wind Power Plant Project,"The purpose of the proposed VER Gold Standard project is to generate zero   emission renewable  energy from a 60 MW wind farm. Band&#305;rma Enerji ve Elektrik Üretim Ticaret   Anonim &#350;irketi is the owner  of the 60 MW Gökburun Wind Farm Project in Turkey. The project activity is   developed as Gold  Standard VER project.  The wind farm includes a total of 20 VESTAS V 90 turbines at an installed   capacity of 3 MW each, 60  MW in total. Technical feasibility, namely wind speed measurements and power   output estimations  site condition analysis was done between April 2007 and October 2008.   Predicted mean wind speed is  8.6 m/sec, which qualifies the site as suitable for the erection and operation of   a wind park.  The expected power generation for 60 MW installed capacity is 10.4 GWh/a for   each turbine or 207.8  GWh/a (gross) for the entire wind park.1 Net power generation is expected to be   182.7 GWh/a. The  wind park will result in reducing CO2 emissions in the range that",Turkey,TR,Gold Standard for the Global Goals,BORUSAN ENBW ENERJI YATIRIMLARI VE ÜRETIM A.S.,Large Scale,Wind,2022-07-24 - 2029-07-23,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,108692,N/A,N/A,https://platform.sustain-cert.com/public-project/1271
Pirincli HEPP,"Pirincli HEPP is a 18.68 MW run-off-river type HEPP project located in Corum   province of Turkey. Project is expected to generate about 155 GWh of electricity   and 97,000 tons of CO2e per year.",Turkey,TR,V2.1 SOP,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Large Scale,"Small, Low - Impact Hydro",2012-04-01 - 2019-03-31,GOLD_STANDARD_CERTIFIED_DESIGN,ACM0002 Grid-connected electricity generation from renewable sources,97000,N/A,N/A,https://platform.sustain-cert.com/public-project/1270
Gümüþköy 13 2 MW Geothermal Power Project Turkey,Gümüþköy Jeotermal A.Þ. plans to invest in a geothermal power plant with   capacity   of 13.2 MW within the year 2012 and 2013.The Geothermal Power Project shall be   built close to the Village Gümüþköy within the district of Germencik in the   province   of Aydýn in Turkey. The use of geothermal power for electricity generation saves   greenhouse gas (GHG) emissions compared to the conventional generation mix   in   Turkey.,Turkey,TR,2.1,FutureCamp Climate GmbH,Large scale,Geothermal,2013-07-01 - 2020-06-30,GOLD_STANDARD_CERTIFIED_DESIGN,AMS-I.D. Grid connected renewable electricity generation,40000,N/A,N/A,https://platform.sustain-cert.com/public-project/1269
Aliaga Wind Farm,"The Aliaga Wind Farm is expected to be a 90 MW wind power project in the Izmir   region of western Turkey. In total there will be 36 turbines each of 2.5 MW   capacity. The annual electricity generation is expected to be as 294,900 MWh   Construction is due to start in July 2008, with commissioning due in mid 2010.   Its location will make the most of the good wind resource in this Aegean region.    The project is expected to generate a total of 174,000 CO2 emission reductions   by clean renewable electricity each year, displacing the predominately fossil fuel   powered grid.",Turkey,TR,V2.1 SOP,Bilgin Güc Santralleri Enerji Üretim A.S,Large Scale,Wind,2017-04-09 - 2024-04-08,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,191154,N/A,N/A,https://platform.sustain-cert.com/public-project/1268
Şenbük Wind Power Project Turkey,"Bakras Enerji Elektrik Üretim ve Tic. A.Ş. has been invested into a new wind power plant i.e. Şenbük WEPP and granted production licence is granted by EMRA on April 2008. The purpose of the project is to generate electricity and to feed it into the public grid. Şenbük project is registered as a Voluntary Emission Reduction project in order to enable the project implementation by means of financial inflows coming from the credits sale.
Installed Capacity of Şenbük WEPP is 15 MW with 5 turbines each having 3.0 MW capacity. Annual energy yield of the project activity is estimated to be 42,400 MWh. Proposed project activity will generate electricity using renewable wind energy and will transfer to the national grid.
First Crediting Period: 22/04/2010- 21/04/2017 Second Crediting Period: 10/04/2018 – 09/04/2025.

Through design change request, Senbuk WPP has increased capacity with addition of 7 turbines, each having 3.3 MWe capacity. The original project consists of 5 turbines with total capacity of 15 MWs. By addition of 23.1MWe, the total capacity reaches to 38.1 MWe. The additional 7 turbines were partially operational since 25.04.2014 and fully operational on 06/05/2016. The total electricity generated was 42,400 MWh/year and now it reached to 103,700 MWh/yr.",Turkey,TR,Gold Standard for the Global Goals,Bakras Enerji Elektrik retim ve Ticaret A.S.,Small Scale,Wind,2018-04-10 - 2025-04-09,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,58801,N/A,N/A,https://platform.sustain-cert.com/public-project/1267
Selale HEPP,SELALE is a ‘Run-off-River’ type hydroelectric power plant(HEPP) project. The   project site is located on Bendimahi weir in Muradiye province of Van in Turkey.   The plant is designed to have an installed capacity of 13.6 MW.,Turkey,TR,Gold Standard for the Global Goals,GTE KARBON SUSTAINABLE ENERJI  EGITIM DANISMANLIK VE TICARET A.S.,Small Scale,"Small, Low - Impact Hydro",2019-03-25 - 2026-03-24,GOLD_STANDARD_CERTIFIED_DESIGN,ACM0002 Grid-connected electricity generation from renewable sources,25167,N/A,N/A,https://platform.sustain-cert.com/public-project/1266
Kayabuku HEPP,"Kayabuku HEPP is a 15.0 MW hydropower plant which will be installed in thye   region of Mengen, Bolu, Turkey. Estimated commisioning date of the project is   February 2010. Implementation of the project will consist of construction of One   weir, where water from the river is diverted into conveyance channel,conveyance   channel with a length of 4.44 km., and power house with Francis type turbines.   The entire net electricity production is expected to be some 49,53 MWh per year.",Turkey,TR,Gold Standard for the Global Goals,Sekans Danismanlik,Small Scale,"Small, Low - Impact Hydro",2017-07-21 - 2024-07-20,GOLD_STANDARD_CERTIFIED_PROJECT,ACM0002 Grid-connected electricity generation from renewable sources,28137,N/A,N/A,https://platform.sustain-cert.com/public-project/1265
Lake Turkana 310MW Wind Power Project,"The Lake Turkana Wind Power Project envisions the construction of a 310MW   wind power plant in Marsabit District, Kenya. The wind park will consist of 365   turbines each with a capacity of 850kW. The power output will add 25% to the   existing capacity in Kenya and the wind farm is projected to produce over 1,400   GWh per year. The proposed project will achieve CO2 emission reduction by   replacing electricity generated by fossil fuel fired power plant connected to the   national grid. It is expected that the project will generate average emission   reductions of 850,000 tCO2 per year.",Kenya,KE,Gold Standard for the Global Goals,Lake Turkana Wind Power,Large Scale,Wind,2014-05-20 - 2021-05-19,GOLD_STANDARD_CERTIFIED_DESIGN,Not provided,850000,N/A,N/A,https://platform.sustain-cert.com/public-project/1264
Berke Regulator and Hydro Electric Power Plant Turkey,"Berke Regulator and Hydro Electric Power Plant project will be developed By Eser Energy Production INC. in Kastamonu Province, Cide District on Aydos River, which is in Western Black Sea Basin . The total installed capacity of the plant is 9.97 MW. The annual electricity generation of the plant is 26.04 GWh.    The purpose of Berke Hydroelectric Power Plant is to produce energy. The water extracted by Berke Regulator will be transmitted to the power plant and will generate power in the turbines.The energy generated by the project will be supplied to the national grid.",Turkey,TR,Gold Standard for the Global Goals,ENCEV Enerji,Small Scale,"Small, Low - Impact Hydro",2014-01-01 - 2020-12-31,GOLD_STANDARD_CERTIFIED_DESIGN,,27500,N/A,N/A,https://platform.sustain-cert.com/public-project/1263
Sidlaghatta Biogas Project,"The project activity involves the implementation of biogas units in the state of   Karnataka, India. The total number of plants to be implemented through this   project activity would be about 5000 units in the following taluks of Karnataka -   Sidlaghatta, Devanahalli, Doddaballapura, Tumkur and Gubbi. The local NGO,   SKG   Sangha will be implementing the units in Karnataka and the project has been   financed through the voluntary carbon market by a non-profit organization,   GoodPlanet Foundation, France.",India,IN,Gold Standard for the Global Goals,GoodPlanet,Small Scale,Biogas - Heat,2010-02-01 - 2020-01-31,GOLD_STANDARD_CERTIFIED_PROJECT,GS Baseline and Monitoring Methodology Biodigester v1.,34644,N/A,N/A,https://platform.sustain-cert.com/public-project/1262
Boreas 1 Enez Wind Power Plant,The electrical energy to be generated at the power plant will be transmitted to the   national grid with Keþan Substation medium voltage busbar connection.,Turkey,TR,V2,BOREAS Enerji retim Sistemleri Sanayi Tic. A._.,Small Scale,Wind,2019-03-18 - 2026-03-17,GOLD_STANDARD_CERTIFIED_PROJECT,AMS-I.D. Grid connected renewable electricity generation,43200,N/A,N/A,https://platform.sustain-cert.com/public-project/1256
Canela Wind Farm Project,"Canela Wind Farm is a wind park station project located in the fourth region of   Chile and being developed by Endesa Eco (EndesaEco is a subsidiary of Endesa   Chile.). The installation has an installed capacity of 18.15 MW and relies on wind   energy to generate electricity for the SIC (Sistema Interconectado Central). The   purpose of the project is to generate electricity from renewable wind resources   along the coast of Chile. Additionally, the project was pioneer in the generation   of electricity from wind power in the SIC as it was the first wind farm to enter the   energy mix in the largest interconnected electricity system in Chile (SIC).    Canela Wind Farm Project reduces greenhouse gas emissions produced by   thermal electric plants using fossil fuels that are currently in operation in Chile.   With an annual generation of 47,698 MWh, the Project reduces emissions by   27,251 tons of CO2e. In April 3rd 2009, Canela Wind Park has achieved   registration under the Clean Dev",Chile,CL,2.1,ENDESA S.A.,Large scale,Wind,2008-09-18 - 2015-09-17,GOLD_STANDARD_CERTIFIED_DESIGN,ACM0002 Grid-connected electricity generation from renewable sources,27251,N/A,N/A,https://platform.sustain-cert.com/public-project/1328
Arakalagudu Biodigester Project II,"The project is to install a 2 cubic meter bio gas generation per day capacity   biodigester for around 1000 house holds in Arakalagudu taluk of Hassan   District, Karnataka State, India.  The bio digester unit will treat animal manure in   anaerobic condition and produce bio gas which will replace the traditional   inefficient firewood waste cook stove.  In door air pollution can be avoided by   using clean biogas stove.      This project is being carried out by SKG Sangha, India.",India,IN,Gold Standard for the Global Goals,GoodPlanet,Microscale,Biogas - Heat,2010-02-01 - 2020-01-31,GOLD_STANDARD_CERTIFIED_PROJECT,GS Baseline and Monitoring Methodology Biodigester v1.,3500,N/A,N/A,https://platform.sustain-cert.com/public-project/1307
